Date,Content,From
"Thursday, June 11, 2009, 6:37 PM","Have you return Harry Potter? If you did not please trade will someone for a gift I might like.
Or you can sell it for the price that you got it. I might be able to trade it with my classmate for something. Please bring Harry  Potter the next time you come.I drew a picture of a dolphin  today but lost it. I never drew a dolphin so good in my life. I only can draw very good once in a while. Can I return the book A Dog's Gotta Do What A Dog's Gotta Do to the library. I have a feeling it is over due.",Parent
"Thu, Jun 11, 2009 at 3:57 PM","Thanks for the reply.

I will bring back the book Harry Potter and you may trade with your friend.

As I told you over the phone: ""Never Say Never"". You told me that you will never read Harry Potter. It is not necessarily being true forever. As you know, you hate swimming before, but now you may like it at least not hating. Thing will change over time, so never say never.

Thing will change over time., Remember it is very important. If you really understand, you will be more generous and happy. Ask your mom for what it is meaning.

Have  a nice evening.",Parent
"Wed, Jul 15, 2009 at 7:47 AM",How are you doing today? Have a great day,Parent
"Thu, Jul 16, 2009 at 6:17 PM","Yes, you can use my nail polish, but don't make a mess. Third grade is about 10 day away, be prepared, I hope you will make many achivements in third grade. I told you many times that you are a smart girl. The things you need to improve are listening to the others, being concentrated, working hard, and watching less TV.
 
Whatever you get the gift for me will be a great gift for my birthday.",Parent
"Sun, Jul 19, 2009 at 7:59 PM","Katie,

I'm sorry that I was tough to you during weekend. It was not my intention to be rude to you.

Katie, I know you are very proud of yourself, same as me. However, I know that sometimes you are actually trying to behave strong to cover your non-self-confidence. I understand this feeling very well since I'm your daddy. Katie, you are a kid. No one will blame you if you tried. They are same for piano playing, swimming, bicycling et al. In US, one can not success until she is a team player. To be a team player, you must be an independent individual first. Sports is the best way to train you in this. This is the reason daddy and mommy is pushing you on this.

You are doing very well on your breath-excising for your vocal class. So you will be terrific on swimming since you can hold your breath very well. Do not be afraid! It is same for everything. Do not be afraid that other kids or people will say that you are not good. Katie, you are very good. But no one is perfect, non one is good in everything. So learning is a way to be better and better. That is the life. Learning from failure rather than being afraid of trying.

As always, health is number one. Be careful of your back posture. If necessary, daddy can buy you a posture corrective brace. But I wish you can realize it and correct by yourself.

Have a wonderful day.

Take care of mommy, alex, and grandma.",Parent
"Mon, Jul 20, 2009 at 6:02 AM","
Thank you very much for the email. If you think it is fine to visit Boston, please plan with daddy when to visit Boston. Please keep in mind, it is going to be very clod in the winter, so don't plan to visit it in cold time. I would suggest the time like Labor day holiday.
 
Hope you are doing well at home, and get along with grandma and Alex very well. Have a great day! Love you as always!",Parent
"Saturday, August 1, 2009, 7:23 PM","How are you doing? Hope you have a great day.
               Have fun.",Kid
"Sun, Aug 9, 2009 at 7:08 PM","Sorry for later reply. Thanks a lot for your kind words.

See you Friday.",Parent
"Thu, Sep 3, 2009 at 1:21 PM","How is everything going with you.
 
I wish you are healthy, being modest, keen to learn knowledge with concentration and focus.
 
Have a nice day and see you on Friday.",Parent
"Tuesday, September 29, 2009 8:19:33 AM","Not every day I do biography. Sometimes I do book reports. I want to keep doing those.The scientific projects I get out of the books.The bonus when do I have to give it to you! When you left you forgot to lock the TV.    

Hope you under stand.",Kid
"Tue, Sep 29, 2009 at 6:51 AM","The lock of TV is not an intension. As a well-behaved kid, you do not need someone to force you to do or not to do something. All the rules are trying to help you being focused.
 
I think you do not need do biography. You have familiar with the structure of that type of article and have practiced enough. Also for book report, a big one from Harry Port is enough. You can even write a report from watching a DVD. Do not keep doing those simple stuff you have known. It will not improve your writting. You can just write one big book report in one week, rather than 5 repeated short biography or book report. Do you understand?
 
I do not want you to be a book worm during track out. You still need to go outside, and go downstairs to play with Alex, help grandma and mom et al.
 
You may stay in your room for study for 2hr in morning, 2~2.5 hr in afernoon. Besides study, you may spend half ~ 1hr in watching TV and internet, half hr in sports, half hr in piano. You may also take a nap after lunch. The internet time is necessary for your scientific project and essary writing with the topic I listed for you.",Parent
"Thu, Oct 1, 2009 at 5:50 PM","
How about your track out so far? I wish you enjoy it.

Have you been more focused? Have you enjoyed watching some History Channel TV or Chinese TV? Have you learned Scooter? How may articles you have written?

Daddy have lots to ask. But in summary, I want you to be safe, healthy, and happy.

Here Boston has temp only 41F during night (the water freezing temp is 32F, or 0 C). How about Raleigh? I feel quite cold during night. I hope you keep warm.

Have a nice day.
BTW, have you learned fraction such as 1/3? It is a very simple concept for integer. If you divide 1 pizza to same 3 pieces, one slice will be 1/3. It can be also understood as 1 divide 3.",Parent
"Sunday, October 4, 2009 5:31:08 PM","Last year mommy was gone on a trip on Mid-autumn. This time you are gone to Boston on Mid-autumn. Mid-autumn is never the best.
I know you are a big fan of cheese cake,but you should still eat moon cake on Mid-autumn.
Mommy hasn't help me on my writing yet like daddy said. By the way I'm writing a article.
Daddy you said you were going to set up the bed.What does that mean?
Alex can sit-up while laying down.
I hope you get better  mommy.",Kid
"Sunday, October 4, 2009 5:31:08 PM",Below I have fixed my writing and added a picture. If anything is still wrong tell me.,Kid
"Sun, Oct 4, 2009 at 2:38 PM","
It is good, but you still forget "","" in "" If anything is still wrong tell me.""

It should be: If anything is still wrong, tell me""",Parent
"Sun, Oct 4, 2009 at 8:37 AM","I miss you guys. It is the mid-autumn festival and people should be united as round as the moon. I'm sorry that I was not at home. I hope we will enjoy the mooncake next year together. By the way, do you guys enjoy mooncake a lot. I never be  a big fan of it . Cheesecake is better  -:).

Katie, how about your track out. I will be home next Friday, but may be pretty busy such as set up the bed and computer. Connie, would you please help katie on her writting, or would you take a picture of the article and then email me. I can make suggestion on changing and bring it next Friday.

How about your scientific projects? Have you finished first two?

1) for the first one, you can use ""trial and error"" method (also called target-shooting method or 试差法, if you have not learned ""divide"". To calculate an area, you need to measure two lengths for rectangular (just need one for circle, why?  think of it.) Then you will know what tool you need. You will find that the measurement unit is not important for the ratio calculation

2) for the second one, I give a hint that   1) Distance =  Speed * Time, or vise verso  2) Speed = distance /time.  So you need to know your speed of walking first by equation 2) , then use trial method and equation 1) to get the time for certain distance. You need ask mom or google about unit conversion for distance from mile to ft. You know how to measure time and distance, and we have tools for both at home.",Parent
"Sun, Oct 4, 2009 at 11:30 AM","You did not answer my question on the scientific project.

I need to prepare the bed for your uncle, who will come to visit us.

BTW, am I so ugly and you so cool?",Parent
"Fri, Oct 9, 2009 at 6:39 AM","The area of rectangular is Area = Length * Width.
 
Katie, you should learn to use google. 
You can learn easily.
 
Love you, see you afternoon.",Parent
"Wed, Oct 14, 2009 at 7:39 AM","
You may write an article as "" My learning on scooter"".
 
In that article, you need decribe your feeling, how you practice, others encourage and response at different stage.
 
Enjoy. This will allow you a gift.",Parent
"Sun, Nov 1, 2009 at 8:04 AM",Did you get enough candies last night?,Parent
"Mon, Dec 21, 2009 at 6:43 AM","First of all, congratulate on the wonderful job in the passing quarter. Mom told me that you have acheived nice result.
 
Daddy may repeat the previous notes again, please pardon me.
 
Time is limited as always, you will realize it later. First of all, health is most important. To improve your health, you need to participate in sports. Scootering, Wii, running/jogging et al can help you. Sitting properly during homework is also essential.
 
Second most important thing is your characters: personality. Some of them are very difficult to change since they can be from daddy and mom. But you can try to change. For example, you need to be generous to everyone, not only Alex. Also be brave and determined. Always having a positive attitude, rather than the ""whatever"" attitude. When time is limited, always try to learn the hard stuff, rather than repeating some trivial work, which you already know.
 
You are smart girl, and wish you have a wonderful holiday and winter vacation.
 
Keep warm.",Parent
"Wed, December 23, 2009 7:13:10 PM","You have told me this 1,000 times. Anyway this is my report card grade.You will also see this when you get home from Boston,so here it is my report card grade:
Reading=4  Writing=3*  Math=4  Science=3 Social Studies=3
Art=3  P.E.=3  Music=3

Please don't try to fix my science. Please don't. We aren't learning about anything you can teach or have at home. In fact we are learning about the Earth,Sun,and Moon.",Kid
"Thu, Jan 21, 2010 at 3:32 PM","As you wish, I'm not your father and do not speak with me or ask me anything.",Parent
"Thu, January 7, 2010 3:28:17 PM","	
Hi guys,

I have a grand opening store called Wishes. This time my store has new stuff ( I mean real new) and the prices are the prices you see at the store. So far I have the following items in the store and there prices, but I will add more stuff.

Chinese adult book=$1.50 with tax
5 easy Micky books=$4.02 with tax
Two easy hard paged books about sharing=$2.00 with tax
Never used writing notebook/journal=$1.00 with tax
New glue stick=$0.050

P.S.  The adult book is mine, but I'm selling it and the store Wishes is located in my room. If you want to donate anything to the store feel free, but contact me first.",Kid
"Thu, Jan 7, 2010 at 1:11 PM","I'm excited to hear the grand opening of your new store. I wish that I can be the first customer, but probably mom will be the first one. Maybe Iyou can accept online order. You can generate a bill and I will pay you later.",Parent
"Fri, January 8, 2010 8:41:14 AM","I would suggest that you add some product in the store. I would suggest you make some art project following the book you received as gift in Christmas. You can sell the art piece in higher price and make larger profit. If you build enough, you may sell on the neighborhood and receive some money. In this case, you can donate the money to help poor people.
 
I would like to buy those article piece made by you. If it is original and full of imagination, I think I will buy it for more than $20. Mom will do that also.
 
Good luck.
 
BTW, it is not so necessary to spend much time on some thing you are caplabe such as math exercise with two digintal adding. On other hand, if you focus and hence improve the efficiency, you can achieve same result with less time. WIth more left spare time, you can do something you are really interested, such as art piece making, which I think it is good for your future dreaming job as fashion designer. Are you still dreaming of this job?
 
Have a nice day. Keep war,m. We have snowing here again.",Parent
"Fri, January 8, 2010 8:43:30 PM","Down below in red are lots of spelling errors. If I were you I would correct them. Like I said I want to be a architect not a fashion designer. I think mom will not by my art work,but if she does it will not be over 20 dollars. The weather here is not that bad.",Kid
"Fri, Jan 8, 2010 at 6:34 PM","If you made some art pieces by yourself, I think mom will buy it. If it is really nice, both mom and I will buy it over $20. Believe your parents.

BTW, please correct my spelling or grammar error if you find them.",Parent
"Tue, January 19, 2010 7:23:04 PM",How are you doing in California? What I want from California is a  … California Souvenir Keychain,Kid
"Tue, January 19, 2010 9:40:52 PM","No problem. I will do my best to find that gift for you. If you have any good idea about what Alex may like, please let me know too.
 
Thanks, and have good sleep.",Parent
"Wed, January 20, 2010 8:36:32 AM",I miss you a lot. I think Alex might like a Plush Dog toy with California,Kid
"Wed, January 20, 2010 10:19:13 AM","I miss you a lot too. I think Alex like toy that can make sounds. Does the plush dog make sound?
 
Have a great day!",Parent
"Wed, January 20, 2010 3:26:50 PM","The dog does not make any noise,but this one does and it is for people 6-36 months. It's kind of hard finding gifts for Alex.
Leap Frog My Pal Scout

Sometimes I can't connect with you on the phone. Today( which is Wednesday) we ran out of milk,so tomorrow we are going to drink soy milk. ",Kid
"Wed, Jan 20, 2010 at 10:47 PM","You are right that it will be hard to find this gift for Alex. I do my best, but if I don't find this one, I may choose something I think he may like. I am sorry to hear that you run out of milk. I will be home midnight tomorrow (Thursday). Tell grandma that she doesn't need to cook the dinner for me, since I will eat the dinner at airport. I shall be able to buy some milk on Friday.
 
Have a great day in first day of school of 2010.",Parent
"Tue, February 2, 2010 2:53:47 PM","Thanks you are the best. Would you like a wish list from me? I edited it. I am doing my work. You spelled different wrong.
Stay In touch",Kid
"Tue, February 2, 2010 8:40:17 PM","Yes, the wish list will help me to get the present. Thanks for pointing out my spelling error.

Good night, my little sweetheart ",Parent
"Wed, February 3, 2010 2:13:20 PM","The wish list may be longer than you think,but I will give you it when I figure out how to use the color printer!
Did you notice my font is smaller now?",Kid
"Thu, Feb 4, 2010 at 12:23 PM","Why do I have to wait until you figure out how to use the color printer, anything on the list is very colorfull? Yes, the size of your font is better than before. By the way, what does ""K.I.T."" really mean?",Parent
"Thu, February 4, 2010 7:50:25 PM",I don't get it.,Kid
"Thu, Feb 4, 2010 at 6:29 PM","tongue twister:

She sells seashells by the seashore.",Parent
"Sun, Feb 7, 2010 at 7:15 AM",Chinese idioms are very interesting (usually 4 words). Sometimes it uses numbers to express its meaning. Can you fill in the following and know its meaning. These idioms all use double numbers. Have fun.,Parent
"Sat, Feb 20, 2010 at 7:39 AM","How is everything going? Hope you have a fun day.

To write an essay applying a new school, you have two main topics: 1) introduce yourself; 2) why you want to go to new school. Your final goal is that the reader such as the principle in school want you at his school after read your letter (Dad know there is lottery by lucky), so all your writing needs focus on this.

About Self:
     To a person, the most important thing is family, personality, interests and hobbies, as well as job (things doing daily). As a student, the job is your study and activity. So it is obvious, you need to write something about family, personality, interests and hobbies, as well as study. To describe each item, you can illustrate by a small story, an achievement, a score report et al., rather than some boring and simple sentences.
For example, you can write ""I'm working hard"". then, you can give an example: how you meet a challenge or difficulty, how you work hard to try to solve it. how you solved it, and finally very important how you feel afterwards, which is the result of your working hard. Learning scoot is a good sample. it is same as ""learning any new stuff"", including study.
You can write "" I like music especially piano"". You can write "" practiced every day, so on and on, and you can won some certificates"". Or you love dancing, and you enjoyed the performance in the stay and the family enjoyed watching your show.
In these stories, describing how you think and feel is very important.
You can frankly talk about your hobbies.

Why New School
    You should describe from two sides: 1) inside and 2) outside. Inside means your side, i.e your motivation. Outside is the factor out of you, such as school, family, friend, society.

    Your side: why you want to new school.
 I think you can write how you want to learn new and more advanced knowledge. How you eager to learn. Katie, life is about family and experiencing in new stuff. The knowledge is the key to explore new stuff. More knowledge, more chance you can explore. Do you agree? You can write a lot about this, such as how a new experience excited you such as a travel in China. While you also need to emphasize that knowledge is helping you to build experience.

    Outside:
New school is the most important factor since this is the reason you are writing this essay. So you need study the new school by learning from the website. What are attracting you? What are curious to you? All these you can write in the essay. Of course, you may mention that they have excellent teacher, campus, academic performance, activity program et al. How they meet your dream such as aritist? Of course, you should NOT say any bad words about current school. You just need say that new school will meet you better.

Other factor can be such as society demand. For example, now the world is a global village. You want to learn other languages in order to travel, work in foreign countries. So you want to learn something to meet the requirement from society, such as a foreign language, meeting new friends (to more social) et al.

Katie, I believe you can write as much as your fiction if you try to understand what dad is saying and focus on the writing.

Good luck. I will try to find some sample letter for you. It is difficult to find (only colleges)

Have a nice day and best wishes.",Parent
"Sat, Feb 20, 2010 at 5:40 PM","I will teach you this weekend fraction such as 3/4 , decimal such as 0.75,  and common divisor  as well as greatest common divisor  ( such as 4 is common divisor of 8 and 20 and also is greatest common divisor).

I will also try to teach you set and subset, and related concept such as union, subtract, intersection. They are very useful for judgment.",Parent
"Thu, February 25, 2010 8:13:04 PM",How do you look at them?,Kid
"Thu, Feb 25, 2010 at 5:47 PM","In terms of flower, some of them are very beautiful, some are so so. But as you know, beauty has no absolute standard.

In terms of words, I agree with them. Wish you Happy, honest, healthy also.",Parent
"Thu, February 25, 2010 7:44:52 PM","Hi,

Please read attach slides.

Love you",Parent
"Mon, Mar 1, 2010 at 2:29 PM","As I told you before, internet is a huge resource for new knowledge rather than just playing games.",Parent
"Thu, March 11, 2010 9:07:18 PM","A man and a tiger were tied at trees. However, there is a burning candle under the rope. Once the rope is burned out, the tiger will be free and kill the man. What the man needs to say and then he will be safe?",Parent
"Thu, March 11, 2010 8:22:25 PM ","
RETELL IT IN ENGLISH PLEASE. ",Kid
"Fri, March 12, 2010 7:43:52 PM",I would run and scream on the top of my lungs. By the way it's suppose to be what does the man needs to say and then he would be safe? Not What the man needs to say and then he will be safe? ,Kid
"Fri, Mar 12, 2010 at 4:50 PM","He is tied on tree, so he can not run.

He would say ""happy birthday"". So the tiger will blow the candle -:)",Parent
"Thu, March 11, 2010 8:36:10 PM","                                        Wish List
Webkinz blue whale Webkinz lamb Webkinz Budgie Bird Lil'Kinz Mini Plush Stuffed Animal CanaryWebkinz Canary Shining star orange tabby cat Webkinz RaccoonWebkinz raccoon Also a $3.99=$4.00 cute baby Pooh at the Grand Asia Market. Webkinz signature golden retriever White snow Webkinz peace puppy",Kid
" Tue, March 23, 2010 8:25:29 PM","Hope you have a wonderful birthday and a bright 9-year-old. Next year, my little Katie will become teenage ... Lots of trouble 

One thing I need to mention again is that you need to be more generous. You are even not generous to your brother Alex. I'm not saying that Alex can break any toy, or especially something you love. But You do not need to be mad. I can imagine that sometime you will be not so generous to your friends also.

Material stuff is not so important since they can be bought using money. Of course, you are not earning money now. But I believe katie will earn money after hard study and grow up. Do not worry about that. Dad and Mom will support you based on our consideration. So you do not need to worry about money at your age. Sometime you worried too much on this such as when Dad was buying cookie for you.

On the other hand, feeling or love is more important. As you see, Alex first speaks ""JieJie"", which indicates he loves you very much. I know sometime he is spoiled and will yell to get what he wants. But you do not need to cry or be mad. Nevertheless, you will not cherish something which you like when you are much young.

At last, hope you enjoy the books I bought for you as birthday gift. My consideration is that you will prepare to learn somehting about China before Mom bring you to China this Fall. Traveling is expanding your knowledge, meeting people and make new friends.

Have a wonderful day.",Parent
"Wed, Mar 31, 2010 at 11:52 AM",OK. you need to understand a teenager is from 13-19.,Kid
"Wed, Mar 31, 2010 at 11:52 AM","Why there is such long delay for email reply?
 
Enjoy your vacation. I think it is great to develop lots of interests when you are still a kid.",Parent
"Tue, Mar 16, 2010 at 6:08 PM","Dad is very proud of you that you won superior prize in piano test. It is great. As you see, you are smart girl and you can reach your goal as long as you are persistent and spend enough time on that.

I wish and believe you will achieve more success on other fields, including sports, which will make you more healthy and popular among your friends.

Have a nice day and see you on Friday.",Parent
"Fri, Mar 26, 2010 at 4:25 PM","Here is an introduction of world expo with nice pictures. katie, I hope you can learn something from the trip rather than ""i do not care"". It is a good education chance of history and culture. You can learn how technologies are developed, especially at ancient time to survive in hard environment.

I'm not sure the reason why you got score 3 for your math. Can you get your testing paper and we can analyze what and why you were doing wrong.

I would guess that you are too careless. Katie, that is not a good character. ps: reply if you got it and understand what I'm saying",Parent
"Wed, March 31, 2010 3:02:46 PM","see you on Friday

see you later",Kid
"Wed, Mar 31, 2010 at 12:12 PM","Haha,
 
I will see you tomorrow Thursday.
 
We will travel to Washington DC on Friday noon and spend night and Sat over there to watch cherry bloom.
 
Can you prepare something for us? such as where, how to get there and park?",Parent
"Wed, Mar 31, 2010 at 1:20 PM","BTW, I love your stationary.",Parent
"Wed, March 31, 2010 2:55:43 PM","CHANGE TO ENGLISH.THANKS
I DID IT BIG BECAUSE I KEEP TELLING YOU TO WRITE IT IN ENGLISH. THIS ISN'T BECAUSE I AM MAD AT YOU.",Kid
"Wed, March 31, 2010 3:03:14 PM","Hi,  Katie,
 
Some jokes lose its funny when you translate it into English. Also there is some background story in Chinese. So you can learn Chinese also.
 
This joke is about TangShen writes a letter to Sun Wukong. They are from Xi You Ji. You know them.
 
Ok, I will try to translate:
 
=======
 
WuKong,
 
I'm writting you a letter slowly since you read slowly.
 
This week there are two rains. One lasts 3 days.  Another last 4 days.
 
Yesterday I went to buy pizza. The srviceman asked me how many pieces I should cut. I said just cut 8 pieices since I can not finish 12 pieces.
 
I'm mailing you a coat. I'm afraid it is too heavy to mail. So I cut off the buttons and put them in the pocket.
 
At last, I will tell you the time is tough since job market is bad. I wanted to mail you some money, but it is too late since I already sealded the letter.
 
 
===========
 
Do you enjoy?",Parent
" Wed, March 31, 2010 3:22:32 PM",I really don't understand that joke.,Kid
"Wed, Mar 31, 2010 at 12:27 PM",I will explain later.,Parent
"Sat, Apr 10, 2010 at 4:49 AM","do you want to try a yard sale. here is the chance. you can rent a table at wakefield high school. Dad will be here that week. How about your Chinese school?

Dad can pay that $20. All the earning will be shared with 50% to you, 50% to family. Or you can donate half and still keep half by yourself.",Parent
"Tue, Apr 13, 2010 at 7:56 AM","I'm looking your pictures taken before, especially the one at birthday.
 
You are happy girl and your face is as beautiful as a flower. Daddy do not want to push you to let you not happy. As long as you are healthy and happy, daddy will be very glad.
 
Anyway, be a brave girl and generous girl.
 ",Parent
"Sun, Apr 18, 2010 at 7:29 AM",I found these when I'm arranging my laptop. It is fun.,Parent
"Tue, Apr 27, 2010 at 5:42 PM",Congratulate on the good score you achieved at test. Keep good work.,Parent
" Thu, April 29, 2010 10:23:53 AM","I talked with Grandma today about your quarrel with her yesterday. I believe that I know what happened. If it is not true as described, please tell me.
 
When Alex is crying, you are kind to offer grandma hep to stop his crying. It is very nice of you.
When Grandma said you may not be able to stop him and your effect may be useless. She is stating a truth, maybe a little bit straightforward. But she did nothing wrong.
 
Then you responded as "" You are too rude to me"", which is totally impolite. Then you said "" You are sick"". This is totally out of boundary. ""You are sick"" may be used to mom or dad since we are friend and family and know you are kind of joking. But it is kind of curse to others, especially to old people in Chinese. It drove grandma crying.
 
Above all, not only this thing, all other things have reflected that you do not respect others, especially NOT appreciate other people's efforts to help you or care you. Grandma also told me that you usually say ""You are sick"" even when she puller your hair by accident when she is helping you to comb the hair. You need appreciate it.
 
Here are the things I suggest:
1) Appology to grandma, take back what you said
2) Be appreciating other's effort. What you have or going to have from family, friend is not naturelly there. It is other people's effort to make you comfortable, happy, not hundary, keeping warm et al.
 
I will be back this weekend. I hope this thing is resolved smoothly.
 ",Parent
"Thu, April 29, 2010 6:06:04 PM","I didn't say that""she was sick"". I said to her that I though she was mad at me(which made her cry), because she said that if she can't stop Alex from crying you can't either and also said it in a rough and loud voice. The note below maybe also right and my note could be wrong, because it was from different points of view. You can think grandma's version is correct (because you are her son) ,but I may not. Like I said it is from different points of view.  
Hope you understand.",Kid
"Thu, Apr 29, 2010 at 3:24 PM","I believe you have said ""Ni You Bin"" in Chinese, i.e. you have sickness or you are sick in English. You always say that time and time to us, and maybe you did not realize that you have said it.

It is not about the fact on what happened yesterday. Basically you can not say ""Ni You Bin"" to grandma. Maybe there is misunderstanding between you two, but you can not say that, period.

Please apology to Grandma on that. I did not think that you are wrong on helping Alex. On the contrast, you are nice.

FACT IS ALWAYS SAME whatever the viewpoint. 

Sometime you just can not control your temp, like me. it will hurt people, just like I did to your mom. Pleae apology on that, which is at least you should do. I also want you to appreciate other people's efforts.",Parent
"Thu, May 6, 2010 4:51:04 PM","I am not be able to call you right now, since someone is using my calling card again. I have to use the calling card to call from Denmark to the states. I tried many times, but seems whoever using my calling card is so talkative, and never stop. I will try again late. Have a nice evening.",Parent
